landkreis;;;
Ahrweiler;;;
Aichach-Friedberg;;;
Altenburger Land;Land;;
Altenkirchen (Westerwald);(Westerwald);;
Altötting;;;
Alzey-Worms;;;
Amberg;;;
Amberg-Sulzbach;;;
Ammerland;;;
Anhalt-Bitterfeld;;;
Ansbach;;;
Aschaffenburg;;;
Augsburg;;;
Aurich;;;
Bad Dürkheim;Dürkheim;;
Bad Kissingen;Kissingen;;
Bad Kreuznach;Kreuznach;;
Bad Tölz-Wolfratshausen;Tölz-Wolfratshausen;;
Baden-Baden;;;
Bamberg;;;
Barnim;;;
Bautzen;;;
Bayreuth;;;
Berchtesgadener Land;Land;;
Bergstraße;;;
Berlin;;;
Bernkastel-Wittlich;;;
Biberach;;;
Bielefeld;;;
Birkenfeld;;;
Bochum;;;
Bonn;;;
Borken;;;
Bottrop;;;
Brandenburg an der Havel;an;der;Havel
Braunschweig;;;
Breisgau-Hochschwarzwald;;;
Bremen;;;
Bremerhaven;;;
Böblingen;;;
Börde;;;
Calw;;;
Celle;;;
Cham;;;
Chemnitz;;;
Cloppenburg;;;
Coburg;;;
Cochem-Zell;;;
Coesfeld;;;
Cottbus;;;
Cuxhaven;;;
Dachau;;;
Dahme-Spreewald;;;
Darmstadt;;;
Darmstadt-Dieburg;;;
Deggendorf;;;
Delmenhorst;;;
Dessau-Roßlau;;;
Diepholz;;;
Dillingen a.d. Donau;a.d.Donau;;
Dingolfing-Landau;;;
Dithmarschen;;;
Donau-Ries;;;
Dortmund;;;
Dresden;;;
Duisburg;;;
Düren;;;
Düsseldorf;;;
Ebersberg;;;
Eichsfeld;;;
Eichstätt;;;
Elbe-Elster;;;
Emden;;;
Emmendingen;;;
Emsland;;;
Erding;;;
Erfurt;;;
Erlangen;;;
Erlangen-Höchstadt;;;
Essen;;;
Esslingen;;;
Euskirchen;;;
Flensburg;;;
Forchheim;;;
Frankenthal (Pfalz);(Pfalz);;
Frankfurt (Oder);(Oder);;
Frankfurt am Main;am;Main;
Freiburg im Breisgau;im;Breisgau;
Freising;;;
Freudenstadt;;;
Freyung-Grafenau;;;
Friesland;;;
Fulda;;;
Fürstenfeldbruck;;;
Fürth;;;
Garmisch-Partenkirchen;;;
Gelsenkirchen;;;
Gera;;;
Germersheim;;;
Gießen;;;
Gifhorn;;;
Goslar;;;
Gotha;;;
Grafschaft Bentheim;Bentheim;;
Greiz;;;
Groß-Gerau;;;
Göppingen;;;
Görlitz;;;
Göttingen;;;
Günzburg;;;
Gütersloh;;;
Hagen;;;
Halle (Saale);(Saale);;
Hamburg;;;
Hameln-Pyrmont;;;
Hamm;;;
Harburg;;;
Harz;;;
Havelland;;;
Haßberge;;;
Heidelberg;;;
Heidenheim;;;
Heilbronn;;;
Heinsberg;;;
Helmstedt;;;
Herford;;;
Herne;;;
Hersfeld-Rotenburg;;;
Herzogtum Lauenburg;Lauenburg;;
Hildburghausen;;;
Hildesheim;;;
Hof;;;
Holzminden;;;
Höxter;;;
Ingolstadt;;;
Jena;;;
Jerichower Land;Land;;
Kaiserslautern;;;
Karlsruhe;;;
Kassel;;;
Kaufbeuren;;;
Kelheim;;;
Kempten (Allgäu);(Allgäu);;
Kiel;;;
Kitzingen;;;
Kleve;;;
Koblenz;;;
Konstanz;;;
Krefeld;;;
Ennepe-Ruhr-Kreis;Ennepe-Ruhr-Kreis;;
Hochsauerlandkreis;Hochsauerlandkreis;;
Märkischer Kreis;Märkischer;Kreis;
Oberbergischer Kreis;Oberbergischer;Kreis;
Rhein-Erft-Kreis;Rhein-Erft-Kreis;;
Rhein-Kreis Neuss;Rhein-Kreis;Neuss;
Rhein-Sieg-Kreis;Rhein-Sieg-Kreis;;
Rheinisch-Bergischer Kreis;Rheinisch-Bergischer;Kreis;
Städteregion Aachen;Städteregion;Aachen;
Kronach;;;
Kulmbach;;;
Kusel;;;
Köln;;;
Landau in der Pfalz;in;der;Pfalz
Alb-Donau-Kreis;Alb-Donau-Kreis;;
Altmarkkreis Salzwedel;Altmarkkreis;Salzwedel;
Bodenseekreis;Bodenseekreis;;
Burgenlandkreis;Burgenlandkreis;;
Donnersbergkreis;Donnersbergkreis;;
Eifelkreis Bitburg-Prüm;Eifelkreis;Bitburg-Prüm;
Enzkreis;Enzkreis;;
Erzgebirgskreis;Erzgebirgskreis;;
Heidekreis;Heidekreis;;
Hochtaunuskreis;Hochtaunuskreis;;
Hohenlohekreis;Hohenlohekreis;;
Ilm-Kreis;Ilm-Kreis;;
Kyffhäuserkreis;Kyffhäuserkreis;;
Lahn-Dill-Kreis;Lahn-Dill-Kreis;;
Main-Kinzig-Kreis;Main-Kinzig-Kreis;;
Main-Tauber-Kreis;Main-Tauber-Kreis;;
Main-Taunus-Kreis;Main-Taunus-Kreis;;
Neckar-Odenwald-Kreis;Neckar-Odenwald-Kreis;;
Odenwaldkreis;Odenwaldkreis;;
Ortenaukreis;Ortenaukreis;;
Ostalbkreis;Ostalbkreis;;
Region Hannover;Region;Hannover;
Landkreis Regionalverband Saaarbrücken;Regionalverband;Saarbrücken;
Rems-Murr-Kreis;Rems-Murr-Kreis;;
Rhein-Hunsrück-Kreis;Rhein-Hunsrück-Kreis;;
Rhein-Lahn-Kreis;Rhein-Lahn-Kreis;;
Rhein-Neckar-Kreis;Rhein-Neckar-Kreis;;
Rhein-Pfalz-Kreis;Rhein-Pfalz-Kreis;;
Rheingau-Taunus-Kreis;Rheingau-Taunus-Kreis;;
Saale-Holzland-Kreis;Saale-Holzland-Kreis;;
Saale-Orla-Kreis;Saale-Orla-Kreis;;
Saalekreis;Saalekreis;;
Saarpfalz-Kreis;Saarpfalz-Kreis;;
Salzlandkreis;Salzlandkreis;;
Schwalm-Eder-Kreis;Schwalm-Eder-Kreis;;
Schwarzwald-Baar-Kreis;Schwarzwald-Baar-Kreis;;
Unstrut-Hainich-Kreis;Unstrut-Hainich-Kreis;;
Vogelsbergkreis;Vogelsbergkreis;;
Vogtlandkreis;Vogtlandkreis;;
Wartburgkreis;Wartburgkreis;;
Werra-Meißner-Kreis;Werra-Meißner-Kreis;;
Westerwaldkreis;Westerwaldkreis;;
Wetteraukreis;Wetteraukreis;;
Zollernalbkreis;Zollernalbkreis;;
Landsberg am Lech;am;Lech;
Landshut;;;
Leer;;;
Leipzig;;;
Leverkusen;;;
Lichtenfels;;;
Limburg-Weilburg;;;
Lindau (Bodensee);(Bodensee);;
Lippe;;;
Ludwigsburg;;;
Ludwigshafen am Rhein;am;Rhein;
Ludwigslust-Parchim;;;
Lörrach;;;
Lübeck;;;
Lüchow-Dannenberg;;;
Lüneburg;;;
Magdeburg;;;
Main-Spessart;;;
Mainz;;;
Mainz-Bingen;;;
Mannheim;;;
Mansfeld-Südharz;;;
Marburg-Biedenkopf;;;
Mayen-Koblenz;;;
Mecklenburgische Seenplatte;Seenplatte;;
Meißen;;;
Memmingen;;;
Merzig-Wadern;;;
Mettmann;;;
Miesbach;;;
Miltenberg;;;
Minden-Lübbecke;;;
Mittelsachsen;;;
Märkisch-Oderland;;;
Mönchengladbach;;;
Mühldorf a.Inn;a.Inn;;
Mülheim an der Ruhr;an;der;Ruhr
München;;;
Münster;;;
Neu-Ulm;;;
Neuburg-Schrobenhausen;;;
Neumarkt i.d.OPf.;i.d.OPf.;;
Neumünster;;;
Neunkirchen;;;
Neustadt a.d.Aisch-Bad Windsheim;a.d.Aisch-Bad;Windsheim;
Neustadt a.d. Waldnaab;a.d.Waldnaab;;
Neustadt an der Weinstraße;an;der;Weinstraße
Neuwied;;;
Nienburg (Weser);(Weser);;
Nordfriesland;;;
Nordhausen;;;
Nordsachsen;;;
Nordwestmecklenburg;;;
Northeim;;;
Nürnberg;;;
Nürnberger Land;Land;;
Oberallgäu;;;
Oberhausen;;;
Oberhavel;;;
Oberspreewald-Lausitz;;;
Oder-Spree;;;
Offenbach;;;
Offenbach am Main;am;Main;
Oldenburg;;;
Oldenburg (Oldb);(Oldb);;
Olpe;;;
Osnabrück;;;
Ostallgäu;;;
Osterholz;;;
Ostholstein;;;
Ostprignitz-Ruppin;;;
Paderborn;;;
Passau;;;
Peine;;;
Pfaffenhofen a.d.Ilm;a.d.Ilm;;
Pforzheim;;;
Pinneberg;;;
Pirmasens;;;
Plön;;;
Potsdam;;;
Potsdam-Mittelmark;;;
Prignitz;;;
Rastatt;;;
Ravensburg;;;
Recklinghausen;;;
Regen;;;
Regensburg;;;
Remscheid;;;
Rendsburg-Eckernförde;;;
Reutlingen;;;
Rhön-Grabfeld;;;
Rosenheim;;;
Rostock;;;
Rotenburg (Wümme);(Wümme);;
Roth;;;
Rottal-Inn;;;
Rottweil;;;
Saalfeld-Rudolstadt;;;
Saarlouis;;;
Salzgitter;;;
Schaumburg;;;
Schleswig-Flensburg;;;
Schmalkalden-Meiningen;;;
